Model,MAE,RMSE,R2,Ticker
LSTM,1.2785524620955904,2.099262370292853,0.7880274560391825,^VIX
Transformer,1.3032131919182943,2.1440737418556317,0.7788812319010437,^VIX
BiLSTM,1.3766901543144263,2.153672858648299,0.7768968820122797,^VIX
GRU,1.2867111859298483,2.1814427939280083,0.7711063065507009,^VIX
BiLSTM,1.8428440371314616,2.437139536906153,0.9814278043757458,XOM
GRU,2.2848485105449794,2.83682360926164,0.8623867585431928,PG
BiLSTM,2.7994577287664675,3.414121066256118,0.8006788454822124,PG
Ridge,2.6353988318885464,4.882998804671419,0.9999910591850064,
Transformer,6.070301702989319,7.240071961860906,0.1036423588098945,PG
GRU,6.117927008953926,7.84389580514252,-0.1388325560048249,KO
Transformer,6.508767172670133,8.139437534944681,-0.2262669712133493,KO
BiLSTM,5.8220490192173,8.21258994665367,0.9531299444478046,AAPL
LSTM,6.604707406680303,8.428732001406114,-0.3149847987088894,KO
GRU,5.3352813350942485,8.725751972364689,0.7619280729019849,XOM
LSTM,7.505225802469323,9.09570592628357,-0.414713118804856,PG
BiLSTM,7.288375589497062,9.196572762257556,-0.5654826701859745,KO
GRU,7.796036678677807,9.719727778252109,0.8709991464178866,HD
LSTM,8.165910403447313,12.398329023794943,0.5193501911393854,XOM
Naive Baseline (Random Walk),5.784727953764018,16.995307026687918,0.9998916916594476,
Transformer,13.320190047601503,17.745995037862883,0.0153017395639705,XOM
GRU,19.432600326414832,25.18471461910745,0.6618629384790325,MSFT
BiLSTM,16.770497015489322,26.11174005847532,0.5161756292497651,JNJ
GRU,18.03443925946903,28.025407457261107,0.4426602942809426,JNJ
BiLSTM,30.706285467440555,36.44171564296088,-0.813351560701256,HD
BiLSTM,28.76332277165476,37.20265485383091,0.2621525641140634,MSFT
Transformer,30.49930687135564,37.63313799089725,-0.93386096080971,HD
Transformer,30.07458875714673,37.8480125428386,-0.0164880350266749,JNJ
LSTM,28.280532023440657,41.39036801038344,-0.2156671707568658,JNJ
GRU,45.017045718980334,53.02981722972661,-0.9542289859682872,AAPL
LSTM,46.86567246740584,53.583289770168335,-2.920515074473659,HD
Transformer,45.051817910929294,55.35996344409649,-1.1297409398280758,AAPL
BiLSTM,47.56201155852039,55.61994308358143,-1.0033046562787789,NVDA
LSTM,49.97331627274176,59.47395139433477,-0.4306846305282665,JPM
GRU,52.91159232637224,62.31079435586946,-0.5704239145078298,JPM
LSTM,71.68528279195117,81.10484660218178,-3.5711850690348745,AAPL
GRU,72.99870868491818,81.172118836505,-3.266774444456579,NVDA
BiLSTM,75.35356465526081,86.65210393690191,-2.037026269269852,JPM
LSTM,81.62436159593031,89.81650833022458,-4.223940905345483,NVDA
Transformer,80.08716712668178,90.4716219739709,-3.363585189490069,MSFT
LSTM,114.61282964900543,122.02941829067667,-6.938670712283091,MSFT
Transformer,117.44724958663224,124.40213539436095,-9.021704445460731,NVDA
BiLSTM,74.4732779901902,127.95733301112315,0.5824474611155628,CAT
Transformer,119.35247583343062,129.29869244682223,-5.762053314301931,JPM
LSTM,94.19324696776556,160.22679112263353,0.345286886349793,CAT
GRU,96.53889655142493,170.9049918662842,0.2551132220186096,CAT
Transformer,236.6068171437992,312.47668359266305,-1.4900954966484767,CAT
Random Forest,116.25962600347984,433.2189156198357,0.9296249535731104,
XGBoost,142.19801133123278,480.2594416781065,0.9135120315806626,
GRU,392.39529483037154,480.599636984357,0.5562537095362969,^GSPC
BiLSTM,515.2660667407108,599.8267758305938,0.3087748115318008,^GSPC
SVR,403.5565041202799,1445.69276479192,0.2162890991641768,
Transformer,1467.493616057906,1636.566294131222,-4.145588635515446,^GSPC
LSTM,1716.758632086783,1856.636539325291,-5.622495094420384,^GSPC
